Episode,Total_Reward
1,286.8799999999998
2,347.1800000000005
3,337.22000000000156
4,393.9199999999995
5,362.18000000000063
6,298.5200000000003
7,371.29999999999995
8,294.4800000000003
9,293.7800000000003
10,287.50000000000034
11,287.66000000000025
12,358.21999999999974
13,355.1599999999985
14,288.6400000000003
15,360.61999999999983
16,358.57999999999976
17,344.88000000000034
18,379.8599999999996
19,337.82000000000096
20,275.4799999999998
21,234.64000000000058
22,276.3999999999996
23,360.4200000000002
24,262.5800000000003
25,283.480000000001
26,404.46000000000083
27,313.34000000000106
28,306.10000000000014
29,297.42000000000047
30,289.46000000000043
31,289.40000000000026
32,290.02000000000044
33,299.3799999999994
34,295.5000000000007
35,295.86000000000075
36,295.48000000000064
37,295.52000000000055
38,297.38000000000005
39,304.4600000000013
40,294.9000000000007
41,299.64000000000044
42,296.96000000000066
43,293.96000000000055
44,310.71999999999946
45,353.8800000000005
46,294.3800000000006
47,338.28000000000065
48,350.66000000000196
49,294.5000000000007
50,297.8400000000005
51,283.4400000000005
52,284.0800000000005
53,301.34000000000003
54,363.98000000000025
55,378.76000000000005
56,457.9600000000001
57,207.77999999999963
